LINE 221 : 2022-02-22 11:52:12,699 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 428 : 2022-02-22 11:52:13,158 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 957 : 2022-02-22 11:52:13,161 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 428 : 2022-02-22 11:52:13,980 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 385 : 2022-02-22 11:52:14,173 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 404 : 2022-02-22 11:52:14,173 [DEBUG   ] Start Enrichr using library: GO_Molecular_Function_2015
LINE 405 : 2022-02-22 11:52:14,173 [INFO    ] Analysis name: atts, Enrichr Library: GO_Molecular_Function_2015
LINE 221 : 2022-02-22 11:52:14,174 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 428 : 2022-02-22 11:52:14,585 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 957 : 2022-02-22 11:52:14,588 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 428 : 2022-02-22 11:52:15,398 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 221 : 2022-02-22 11:52:16,406 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 428 : 2022-02-22 11:52:16,832 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=45067738&filename=GO_Molecular_Function_2015.atts.reports&backgroundType=GO_Molecular_Function_2015 HTTP/1.1" 308 172
LINE 957 : 2022-02-22 11:52:16,835 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 428 : 2022-02-22 11:52:17,651 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=45067738&filename=GO_Molecular_Function_2015.atts.reports&backgroundType=GO_Molecular_Function_2015 HTTP/1.1" 200 None
LINE 413 : 2022-02-22 11:52:17,866 [INFO    ] Save file of enrichment results: Job Id:2f04f32b2d28f195ae1d4fbcef8c9025
LINE 1329: 2022-02-22 11:52:17,914 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2022-02-22 11:52:17,914 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.335
LINE 1341: 2022-02-22 11:52:17,914 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.05
