entrezgene,ensembl.gene,symbol,uniprot.Swiss-Prot
1103,ENSG00000070748,CHAT,P28329
7074,ENSG00000156299,TIAM1,Q13009
4684,ENSG00000149294,NCAM1,P13591
2904,ENSG00000273079,GRIN2B,Q13224
1742,ENSG00000132535,DLG4,P78352
2902,ENSG00000176884,GRIN1,Q05586
2048,ENSG00000133216,EPHB2,P29323
5335,ENSG00000124181,PLCG1,P19174
5747,ENSG00000169398,PTK2,Q05397
5921,ENSG00000145715,RASA1,P20936
2185,ENSG00000120899,PTK2B,Q14289
2903,ENSG00000183454,GRIN2A,Q12879
3689,ENSG00000160255,ITGB2,P05107
6850,ENSG00000165025,SYK,P43405
3932,ENSG00000182866,LCK,P06239
3815,ENSG00000157404,KIT,P10721
1796,ENSG00000115325,DOK1,Q99704
3690,ENSG00000259207,ITGB3,P05106
6464,ENSG00000160691,SHC1,P29353
867,ENSG00000110395,CBL,P22681
5777,ENSG00000111679,PTPN6,P29350
2057,ENSG00000187266,EPOR,P19235
5781,ENSG00000179295,PTPN11,Q06124
1439,ENSG00000100368,CSF2RB,P32927
5295,ENSG00000145675,PIK3R1,P27986
3717,ENSG00000096968,JAK2,O60674
5336,ENSG00000197943,PLCG2,P16885
7409,ENSG00000141968,VAV1,P15498
3643,ENSG00000171105,INSR,P06213
2549,ENSG00000109458,GAB1,Q13480
7006,ENSG00000135605,TEC,P42680
4233,ENSG00000105976,MET,P08581
5159,ENSG00000113721,PDGFRB,P09619
10603,ENSG00000160999,SH2B2,O14492
3716,ENSG00000162434,JAK1,P23458
2064,ENSG00000141736,ERBB2,P04626
5788,ENSG00000262418,PTPRC,P08575
5788,ENSG00000081237,PTPRC,P08575
6774,ENSG00000168610,STAT3,P40763
6452,ENSG00000087266,SH3BP2,P78314
7535,ENSG00000115085,ZAP70,P43403
3937,ENSG00000043462,LCP2,Q13094
3055,ENSG00000101336,HCK,P08631
3635,ENSG00000281614,INPP5D,Q92835
3635,ENSG00000168918,INPP5D,Q92835
7852,ENSG00000121966,CXCR4,P61073
8651,ENSG00000185338,SOCS1,O15524
3480,ENSG00000140443,IGF1R,P08069
5296,ENSG00000105647,PIK3R2,O00459
6654,ENSG00000115904,SOS1,Q07889
1436,ENSG00000182578,CSF1R,P07333
1399,ENSG00000099942,CRKL,P46109
9846,ENSG00000033327,GAB2,Q9UQC2
613,ENSG00000186716,BCR,P11274
2885,ENSG00000177885,GRB2,P62993
868,ENSG00000114423,CBLB,Q13191
29760,ENSG00000095585,BLNK,Q8WV28
10451,ENSG00000134215,VAV3,Q9UKW4
25,ENSG00000097007,ABL1,P00519
27,ENSG00000143322,ABL2,P42684
2065,ENSG00000065361,ERBB3,P21860
1398,ENSG00000167193,CRK,P46108
5782,ENSG00000127947,PTPN12,Q05209
3791,ENSG00000128052,KDR,P35968
2321,ENSG00000102755,FLT1,P17948
4690,ENSG00000158092,NCK1,P16333
8503,ENSG00000117461,PIK3R3,Q92569
3667,ENSG00000169047,IRS1,P35568
1956,ENSG00000146648,EGFR,P00533
5795,ENSG00000149177,PTPRJ,Q12913
2690,ENSG00000112964,GHR,P10912
2322,ENSG00000122025,FLT3,P36888
27040,ENSG00000213658,LAT,O43561
3702,ENSG00000113263,ITK,Q08881
