entrezgene,ensembl.gene,symbol,uniprot.Swiss-Prot
64131,ENSG00000103489,XYLT1,Q86Y38
64131,ENSG00000285395,XYLT1,Q86Y38
1268,ENSG00000118432,CNR1,P21554
2770,ENSG00000127955,GNAI1,P63096
2864,ENSG00000126266,FFAR1,O14842
2776,ENSG00000156052,GNAQ,P50148
1903,ENSG00000213694,S1PR3,Q99500
64407,ENSG00000150681,RGS18,Q9NS28
8490,ENSG00000143248,RGS5,O15539
8490,ENSG00000232995,RGS5,O15539
2773,ENSG00000065135,GNAI3,P08754
2771,ENSG00000114353,GNAI2,P04899
6004,ENSG00000143333,RGS16,O15492
2786,ENSG00000168243,GNG4,P50150
2786,ENSG00000282972,GNG4,P50150
2785,ENSG00000162188,GNG3,P63215
2775,ENSG00000087258,GNAO1,P09471
59345,ENSG00000114450,GNB4,Q9HAV0
2784,ENSG00000111664,GNB3,P16520
2788,ENSG00000176533,GNG7,O60262
2790,ENSG00000242616,GNG10,P50151
2782,ENSG00000078369,GNB1,P62873
2787,ENSG00000174021,GNG5,P63218
2783,ENSG00000172354,GNB2,P62879
2778,ENSG00000087460,GNAS,"['Q5JWF2', 'P84996', 'P63092', 'O95467']"
2767,ENSG00000088256,GNA11,P29992
643,ENSG00000160683,CXCR5,P32302
94235,ENSG00000167414,GNG8,Q9UK08
54331,ENSG00000186469,GNG2,P59768
259249,ENSG00000170255,MRGPRX1,Q96LB2
6915,ENSG00000006638,TBXA2R,P21731
10672,ENSG00000120063,GNA13,Q14344
7253,ENSG00000165409,TSHR,P16473
56940,ENSG00000112679,DUSP22,Q9NRW4
2768,ENSG00000146535,GNA12,Q03113
150,ENSG00000150594,ADRA2A,P08913
2793,ENSG00000167083,GNGT2,O14610
5082,ENSG00000136940,PDCL,Q13371
2791,ENSG00000127920,GNG11,P61952
2792,ENSG00000127928,GNGT1,P63211
10681,ENSG00000069966,GNB5,O14775
51764,ENSG00000127588,GNG13,Q9P2W3
9628,ENSG00000182732,RGS6,P49758
10636,ENSG00000169220,RGS14,O43566
6000,ENSG00000182901,RGS7,P49802
60626,ENSG00000177963,RIC8A,Q9NPQ8
104909134,ENSG00000263715,LINC02210-CRHR1,P34998
104909134,ENSG00000278232,LINC02210-CRHR1,P34998
104909134,ENSG00000282456,LINC02210-CRHR1,P34998
1394,ENSG00000120088,CRHR1,P34998
1394,ENSG00000276191,CRHR1,P34998
1901,ENSG00000170989,S1PR1,P21453
84248,ENSG00000122068,FYTTD1,Q96QD9
961,ENSG00000196776,CD47,Q08722
154,ENSG00000169252,ADRB2,P07550
55970,ENSG00000172380,GNG12,Q9UBI6
6001,ENSG00000148908,RGS10,O43665
5999,ENSG00000117152,RGS4,P49798
156,ENSG00000173020,GRK2,P25098
1234,ENSG00000160791,CCR5,P51681
4985,ENSG00000116329,OPRD1,P41143
58157,ENSG00000165553,NGB,Q9NPG2
2778,ENSG00000087460,GNAS,"['Q5JWF2', 'P84996', 'P63092', 'O95467']"
4924,ENSG00000104805,NUCB1,Q02818
4544,ENSG00000134640,MTNR1B,P49286
2781,ENSG00000128266,GNAZ,P19086
134,ENSG00000163485,ADORA1,P30542
10287,ENSG00000171700,RGS19,P49795
8601,ENSG00000147509,RGS20,O76081
4543,ENSG00000168412,MTNR1A,P48039
284427,ENSG00000181240,SLC25A41,Q8N5S1
3215,ENSG00000120075,HOXB5,P09067
387882,ENSG00000235162,C12orf75,Q8TAD7
774,ENSG00000148408,CACNA1B,Q00975
6002,ENSG00000159788,RGS12,O14924
554,ENSG00000126895,AVPR2,P30518
1816,ENSG00000169676,DRD5,P21918
29899,ENSG00000121957,GPSM2,P81274
5064,ENSG00000099864,PALM,O75781
84548,ENSG00000269556,TMEM185A,Q8NFB2
203111,ENSG00000177459,ERICH5,Q6P6B1
375519,ENSG00000164411,GJB7,Q6PEY0
3265,ENSG00000174775,HRAS,P01112
3265,ENSG00000276536,HRAS,P01112
22979,ENSG00000084710,EFR3B,Q9Y2G0
338761,ENSG00000186897,C1QL4,Q86Z23
55824,ENSG00000076641,PAG1,Q9NWQ8
84948,ENSG00000179886,TIGD5,Q53EQ6
84948,ENSG00000278016,TIGD5,Q53EQ6
55188,ENSG00000111785,RIC8B,Q9NVN3
9294,ENSG00000267534,S1PR2,O95136
2596,ENSG00000172020,GAP43,P17677
5098,ENSG00000240184,PCDHGC3,Q9UN70
80820,ENSG00000122547,EEPD1,Q7L9B9
92181,ENSG00000168246,UBTD2,Q8WUN7
29785,ENSG00000167600,CYP2S1,Q96SQ9
1230,ENSG00000163823,CCR1,P32246
23167,ENSG00000132294,EFR3A,Q14156
3669,ENSG00000172183,ISG20,Q96AZ6
1456,ENSG00000151292,CSNK1G3,Q9Y6M4
9412,ENSG00000152944,MED21,Q13503
5793,ENSG00000144724,PTPRG,P23470
6714,ENSG00000197122,SRC,P12931
81669,ENSG00000221978,CCNL2,Q96S94
27293,ENSG00000130768,SMPDL3B,Q92485
10544,ENSG00000101000,PROCR,Q9UNN8
7525,ENSG00000176105,YES1,P07947
414149,ENSG00000176244,ACBD7,Q8N6N7
3241,ENSG00000115756,HPCAL1,P37235
114787,ENSG00000169258,GPRIN1,Q7Z2K8
219771,ENSG00000108100,CCNY,Q8ND76
6382,ENSG00000115884,SDC1,P18827
22920,ENSG00000075945,KIFAP3,Q92845
151195,ENSG00000163249,CCNYL1,Q8N7R7
2534,ENSG00000010810,FYN,P06241
1272,ENSG00000018236,CNTN1,Q12860
6237,ENSG00000126458,RRAS,P10301
5580,ENSG00000163932,PRKCD,Q05655
4688,ENSG00000116701,NCF2,P19878
343035,ENSG00000198570,RD3,Q7Z3Z2
1969,ENSG00000142627,EPHA2,P29317
1946,ENSG00000184349,EFNA5,P52803
4916,ENSG00000140538,NTRK3,Q16288
50837,ENSG00000121377,TAS2R7,Q9NYW3
50837,ENSG00000273326,TAS2R7,Q9NYW3
50837,ENSG00000274327,TAS2R7,Q9NYW3
57707,ENSG00000140950,MEAK7,Q6P9B6
5578,ENSG00000154229,PRKCA,P17252
2911,ENSG00000152822,GRM1,Q13255
23236,ENSG00000182621,PLCB1,Q9NQ66
126306,ENSG00000167476,JSRP1,Q96MG2
10399,ENSG00000204628,RACK1,P63244
5581,ENSG00000171132,PRKCE,Q02156
5175,ENSG00000261371,PECAM1,P16284
1445,ENSG00000103653,CSK,P41240
4067,ENSG00000254087,LYN,P07948
5579,ENSG00000166501,PRKCB,P05771
695,ENSG00000010671,BTK,Q06187
23180,ENSG00000131378,RFTN1,Q14699
