mondo,pathways
MONDO:0008117,
MONDO:0009448,hsa04974
MONDO:0009448,hsa04974;hsa04978
MONDO:0009448,
MONDO:0008119,hsa04330;hsa05017;hsa05022
MONDO:0010435,
MONDO:0011766,hsa04340
MONDO:0011767,
MONDO:0010436,hsa04140;hsa05014;hsa05022
MONDO:0010436,
MONDO:0010437,hsa04210;hsa04217
MONDO:0010438,hsa00563;hsa01100
MONDO:0009443,hsa02010
MONDO:0009440,hsa04142;hsa05170
MONDO:0009441,
MONDO:0008111,hsa04540;hsa05412
MONDO:0008114,hsa04020;hsa04080;hsa04540;hsa04726;hsa04750
MONDO:0008114,hsa04721;hsa04726
MONDO:0008116,hsa03015;hsa05164
MONDO:0008115,hsa05202
MONDO:0011773,hsa03008
MONDO:0054560,hsa03008
MONDO:0011774,
MONDO:0010443,
MONDO:0011775,hsa01522;hsa01524;hsa04010;hsa04071;hsa04110;hsa04115;hsa04137;hsa04151;hsa04210;hsa04211;hsa04216;hsa04218;hsa04310;hsa04722;hsa04919;hsa05012;hsa05014;hsa05016;hsa05131;hsa05160;hsa05161;hsa05162;hsa05163;hsa05165;hsa05166;hsa05167;hsa05168;hsa05169;hsa05200;hsa05202;hsa05203;hsa05205;hsa05206;hsa05210;hsa05212;hsa05213;hsa05214;hsa05215;hsa05216;hsa05217;hsa05218;hsa05219;hsa05220;hsa05222;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05417;hsa05418
MONDO:0010444,
MONDO:0011776,hsa04217;hsa04621;hsa04625;hsa05130;hsa05131;hsa05132;hsa05133;hsa05135;hsa05164;hsa05171;hsa05417
MONDO:0010440,
MONDO:0011772,hsa00052;hsa00510;hsa00513;hsa00514;hsa00515;hsa00533;hsa00601;hsa01100
MONDO:0010441,hsa00100;hsa01100
MONDO:0060704,
MONDO:0009439,hsa00590;hsa01100;hsa04726
MONDO:0009439,
MONDO:0060702,
MONDO:0009437,
MONDO:0011778,hsa04340;hsa05200;hsa05217
MONDO:0010447,hsa04010;hsa04114;hsa04150;hsa04714;hsa04720;hsa04722;hsa04914;hsa04931;hsa05135;hsa05207
MONDO:0010449,hsa03010;hsa05171
MONDO:0060707,
MONDO:0009431,hsa04928;hsa04978
MONDO:0009430,hsa04512
MONDO:0009436,hsa04340;hsa04360;hsa05200;hsa05205;hsa05217
MONDO:0008102,hsa04024;hsa04742
MONDO:0009433,hsa04540;hsa05412
MONDO:0009434,hsa04612;hsa05163;hsa05166;hsa05168;hsa05169;hsa05170
