mondo,pathways
MONDO:0008104,hsa01521;hsa01522;hsa04010;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04071;hsa04072;hsa04114;hsa04140;hsa04150;hsa04151;hsa04210;hsa04218;hsa04270;hsa04370;hsa04371;hsa04380;hsa04510;hsa04540;hsa04550;hsa04613;hsa04620;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04720;hsa04722;hsa04725;hsa04726;hsa04730;hsa04810;hsa04910;hsa04912;hsa04914;hsa04915;hsa04916;hsa04917;hsa04919;hsa04921;hsa04926;hsa04928;hsa04929;hsa04934;hsa04935;hsa05010;hsa05022;hsa05034;hsa05132;hsa05135;hsa05160;hsa05161;hsa05163;hsa05164;hsa05165;hsa05166;hsa05167;hsa05170;hsa05200;hsa05205;hsa05206;hsa05207;hsa05208;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05216;hsa05218;hsa05219;hsa05220;hsa05221;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05231;hsa05235
MONDO:0008104,hsa04014;hsa04072;hsa04360;hsa04625;hsa04630;hsa04650;hsa04670;hsa04722;hsa04920;hsa04931;hsa05120;hsa05130;hsa05168;hsa05205;hsa05208;hsa05211;hsa05220;hsa05235
MONDO:0008104,hsa01521;hsa01522;hsa04010;hsa04012;hsa04015;hsa04024;hsa04062;hsa04068;hsa04150;hsa04270;hsa04510;hsa04650;hsa04720;hsa04722;hsa04726;hsa04730;hsa04810;hsa04910;hsa04914;hsa04928;hsa04934;hsa05010;hsa05022;hsa05034;hsa05160;hsa05161;hsa05200;hsa05205;hsa05208;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05216;hsa05218;hsa05219;hsa05220;hsa05221;hsa05223;hsa05224;hsa05225;hsa05226
MONDO:0011784,
MONDO:0011786,hsa04060;hsa04630;hsa04657;hsa04658;hsa04664;hsa05200;hsa05310;hsa05321
MONDO:0010455,
MONDO:0011787,hsa00515;hsa01100
MONDO:0010456,hsa04137;hsa05202;hsa05211
MONDO:0011781,hsa03022;hsa05016;hsa05017;hsa05165;hsa05166;hsa05203
MONDO:0010451,
MONDO:0010452,hsa04390;hsa04530;hsa05165
MONDO:0011783,hsa00510;hsa00513;hsa01100
MONDO:0060715,hsa00040;hsa00053;hsa01100;hsa04211;hsa04928;hsa04961
MONDO:0010417,
MONDO:0011748,
MONDO:0011749,hsa00350;hsa01100;hsa04916
MONDO:0060713,hsa01522;hsa04330;hsa04371;hsa04658;hsa04668;hsa05165;hsa05200;hsa05207;hsa05224
MONDO:0060714,hsa04010;hsa04014;hsa04015;hsa04020;hsa04151;hsa04810;hsa04928;hsa05200;hsa05218;hsa05224;hsa05226
MONDO:0011744,hsa05100;hsa05131;hsa05132;hsa05135
MONDO:0010414,hsa04630
MONDO:0010415,hsa04630
MONDO:0009465,
MONDO:0008134,hsa05017
MONDO:0008133,
MONDO:0008136,hsa04550;hsa04950
MONDO:0060711,
MONDO:0009469,
MONDO:0008135,hsa03030;hsa03430;hsa03440
MONDO:0060712,
MONDO:0009466,hsa01521;hsa04010;hsa04012;hsa04020;hsa04151;hsa05205;hsa05206
MONDO:0009461,
MONDO:0010420,hsa00260;hsa00860;hsa01100;hsa01240
MONDO:0011751,hsa00860;hsa01100;hsa04066;hsa04216;hsa04978;hsa05200;hsa05206;hsa05208;hsa05225;hsa05418
MONDO:0011751,hsa03320;hsa04657;hsa04926;hsa05171;hsa05200;hsa05219;hsa05323;hsa05417
MONDO:0010421,hsa04064;hsa04380;hsa04611;hsa04662;hsa04664;hsa05169;hsa05340
MONDO:0011752,
MONDO:0010423,
MONDO:0011759,hsa00531;hsa01100;hsa04142
MONDO:0010429,
MONDO:0060724,hsa00563;hsa01100
MONDO:0009459,hsa04742
MONDO:0010424,hsa04060;hsa04630;hsa04640;hsa05200
MONDO:0011756,
MONDO:0060729,
MONDO:0011758,hsa00531;hsa01100;hsa04142
MONDO:0010427,
MONDO:0009454,hsa00270;hsa01100;hsa05206
MONDO:0008120,
MONDO:0008123,hsa04150;hsa04310;hsa04390;hsa04550;hsa04916;hsa04934;hsa05010;hsa05022;hsa05165;hsa05200;hsa05205;hsa05217;hsa05224;hsa05225;hsa05226
MONDO:0009452,
MONDO:0009458,
MONDO:0010431,
MONDO:0011762,
MONDO:0010432,hsa04610
MONDO:0011764,hsa05012;hsa05022
MONDO:0010434,hsa05202
MONDO:0010434,hsa05202
MONDO:0011765,
MONDO:0011760,hsa00531;hsa01100;hsa04142
MONDO:0010430,
MONDO:0009406,hsa02010
MONDO:0011727,hsa04020;hsa04080;hsa04540;hsa04726;hsa04750
MONDO:0011728,hsa04020;hsa04024;hsa04080;hsa04728
MONDO:0011724,hsa04066;hsa04911;hsa04919;hsa04920;hsa04922;hsa04931;hsa04976;hsa05166;hsa05200;hsa05211;hsa05230;hsa05415
MONDO:0011725,hsa00040;hsa00053;hsa00140;hsa00830;hsa00860;hsa00980;hsa00982;hsa00983;hsa01100;hsa01240;hsa04976;hsa05204;hsa05207
MONDO:0060733,hsa04310
MONDO:0009400,hsa00330;hsa01100
MONDO:0060732,hsa04310
MONDO:0009401,hsa00250;hsa00330;hsa01100
MONDO:0011730,hsa00020;hsa00620;hsa01100;hsa01200;hsa04934;hsa05200;hsa05211
MONDO:0011731,hsa04973;hsa04976;hsa04978
MONDO:0010400,hsa04630
MONDO:0010401,hsa04630
MONDO:0011732,hsa04218;hsa04750;hsa05418
MONDO:0011738,
MONDO:0011739,
MONDO:0010408,
MONDO:0010402,hsa04024;hsa04080;hsa04713;hsa04723;hsa04724;hsa04728;hsa04730;hsa05016;hsa05017;hsa05022;hsa05031;hsa05033;hsa05202
MONDO:0011735,hsa04060;hsa04064;hsa04514;hsa04620;hsa04672;hsa05144;hsa05145;hsa05166;hsa05169;hsa05202;hsa05310;hsa05320;hsa05322;hsa05330;hsa05340;hsa05416;hsa05417
MONDO:0060745,hsa04659;hsa04710;hsa05017;hsa05321
MONDO:0011740,hsa00020;hsa00190;hsa01100;hsa01200;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0011740,hsa00020;hsa00190;hsa01100;hsa01200;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0011740,hsa00020;hsa00190;hsa01100;hsa01200;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0011743,hsa04979;hsa05010
MONDO:0011743,hsa04330;hsa04722;hsa05010;hsa05022
MONDO:0060759,
MONDO:0009428,hsa00730;hsa00790;hsa01100;hsa01240
MONDO:0011706,
MONDO:0009426,
MONDO:0060758,hsa04010;hsa04020;hsa04713;hsa04925;hsa04927;hsa04929;hsa04930;hsa04934
MONDO:0011707,hsa00230;hsa01100;hsa01522;hsa04015;hsa04022;hsa04024;hsa04062;hsa04072;hsa04114;hsa04211;hsa04213;hsa04261;hsa04270;hsa04371;hsa04540;hsa04611;hsa04713;hsa04714;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa04750;hsa04911;hsa04912;hsa04913;hsa04914;hsa04915;hsa04916;hsa04918;hsa04921;hsa04923;hsa04924;hsa04925;hsa04926;hsa04927;hsa04928;hsa04934;hsa04935;hsa04970;hsa04971;hsa04972;hsa04976;hsa05012;hsa05030;hsa05031;hsa05032;hsa05034;hsa05163;hsa05166;hsa05200;hsa05207;hsa05414
MONDO:0009427,hsa00730;hsa00790;hsa01100;hsa01240
MONDO:0011702,hsa05410;hsa05412;hsa05414;hsa05416
MONDO:0011703,hsa04216;hsa05020;hsa05022
MONDO:0060752,
MONDO:0011708,
MONDO:0009424,hsa04960;hsa04971
MONDO:0011715,hsa03440
MONDO:0009415,hsa02010;hsa04911;hsa04930
MONDO:0011717,hsa00220;hsa00250;hsa00910;hsa01100;hsa01200;hsa04217;hsa04964
MONDO:0009416,hsa01521;hsa01522;hsa01524;hsa04010;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04071;hsa04072;hsa04140;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04218;hsa04261;hsa04370;hsa04371;hsa04380;hsa04510;hsa04550;hsa04611;hsa04613;hsa04620;hsa04625;hsa04630;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04722;hsa04725;hsa04728;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04920;hsa04922;hsa04923;hsa04926;hsa04929;hsa04931;hsa04932;hsa04933;hsa04935;hsa04936;hsa04973;hsa05010;hsa05017;hsa05131;hsa05132;hsa05135;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05162;hsa05163;hsa05164;hsa05165;hsa05166;hsa05167;hsa05168;hsa05169;hsa05170;hsa05200;hsa05205;hsa05207;hsa05208;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05231;hsa05235;hsa05415;hsa05417;hsa05418
MONDO:0011718,
MONDO:0011712,
MONDO:0009419,
MONDO:0011713,hsa01522;hsa01524;hsa04110;hsa04115;hsa04218;hsa04934;hsa05163;hsa05166;hsa05200;hsa05203;hsa05206;hsa05212;hsa05214;hsa05218;hsa05219;hsa05220;hsa05223;hsa05225
MONDO:0011714,hsa04144;hsa04510;hsa05020;hsa05100;hsa05205;hsa05416;hsa05418
MONDO:0060763,hsa05202
MONDO:0060760,
MONDO:0060761,
MONDO:0009413,hsa04060;hsa04064;hsa04672;hsa05166;hsa05340
MONDO:0009413,hsa04610;hsa04640;hsa04662;hsa05169
MONDO:0009413,hsa04060;hsa04672;hsa05340
MONDO:0009413,hsa04514;hsa04660;hsa04672;hsa05340
MONDO:0009413,hsa04151;hsa04640;hsa04662;hsa05169;hsa05340
MONDO:0011719,hsa04010;hsa04014;hsa04015;hsa04072;hsa04151;hsa04640;hsa04916;hsa05200;hsa05221;hsa05224;hsa05230
MONDO:0011719,hsa00020;hsa00190;hsa01100;hsa01200;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0011719,hsa00020;hsa00190;hsa01100;hsa01200;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0009414,hsa00500;hsa01100;hsa04151;hsa04152;hsa04910;hsa04922;hsa04931;hsa05415
MONDO:0009411,hsa04120;hsa05340
MONDO:0060764,hsa04150;hsa04310;hsa04390;hsa04550;hsa04916;hsa04934;hsa05010;hsa05022;hsa05165;hsa05200;hsa05205;hsa05206;hsa05217;hsa05224;hsa05225;hsa05226
MONDO:0010110,hsa04150;hsa04310;hsa04390;hsa04550;hsa04916;hsa04934;hsa05010;hsa05022;hsa05165;hsa05200;hsa05205;hsa05206;hsa05217;hsa05224;hsa05225;hsa05226
MONDO:0011720,
MONDO:0011721,
MONDO:0008198,hsa05166
MONDO:0008197,hsa05166
MONDO:0008199,hsa00010;hsa00071;hsa00350;hsa00620;hsa00830;hsa00980;hsa00982;hsa01100;hsa04936
MONDO:0008199,hsa00511;hsa00600;hsa01100;hsa04142
MONDO:0008199,hsa00220;hsa00250;hsa00910;hsa01100;hsa01200;hsa04217;hsa04964
MONDO:0008199,hsa04010;hsa05010;hsa05012;hsa05022
MONDO:0008199,hsa04925;hsa04928
MONDO:0008199,hsa05014;hsa05017;hsa05022
MONDO:0008199,hsa05017
MONDO:0008199,hsa03022;hsa05016;hsa05017;hsa05165;hsa05166;hsa05203
MONDO:0008199,hsa05012;hsa05022
MONDO:0008192,hsa00020;hsa00190;hsa01100;hsa01200;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0008196,hsa04218;hsa04750;hsa05418
MONDO:0008195,
MONDO:0008187,hsa00140;hsa00350;hsa01100;hsa04728
MONDO:0008185,hsa02010;hsa04024;hsa04152;hsa04530;hsa04971;hsa04972;hsa04976;hsa05110
MONDO:0008185,
MONDO:0008185,hsa04080;hsa04972;hsa04974;hsa05164
MONDO:0008185,hsa04080;hsa04972;hsa04974;hsa05164
MONDO:0008185,
MONDO:0033135,
MONDO:0010479,hsa05415
MONDO:0009486,
MONDO:0008153,hsa01522;hsa04015;hsa04020;hsa04024;hsa04072;hsa04261;hsa04270;hsa04540;hsa04611;hsa04713;hsa04714;hsa04724;hsa04726;hsa04728;hsa04730;hsa04750;hsa04911;hsa04912;hsa04913;hsa04915;hsa04916;hsa04918;hsa04921;hsa04922;hsa04923;hsa04924;hsa04925;hsa04926;hsa04927;hsa04928;hsa04934;hsa04935;hsa04961;hsa04962;hsa04970;hsa04971;hsa04972;hsa04976;hsa05012;hsa05030;hsa05031;hsa05032;hsa05034;hsa05110;hsa05142;hsa05146;hsa05163;hsa05165;hsa05200;hsa05207;hsa05414
MONDO:0008156,
MONDO:0009484,hsa05014;hsa05016;hsa05022
MONDO:0009485,hsa04120
MONDO:0008157,
MONDO:0010480,hsa00030;hsa00480;hsa01100;hsa01200;hsa05230;hsa05415
MONDO:0010480,
MONDO:0008150,hsa04010;hsa04014;hsa04015;hsa04020;hsa04151;hsa04520;hsa04550;hsa04714;hsa04810;hsa04928;hsa05200;hsa05205;hsa05215;hsa05218;hsa05224;hsa05230
MONDO:0009482,
MONDO:0008152,hsa04928
MONDO:0008151,
MONDO:0010486,hsa04141
MONDO:0010487,
MONDO:0010488,
MONDO:0033123,hsa04015;hsa04310;hsa04390;hsa04510;hsa04520;hsa04550;hsa04670;hsa04916;hsa04919;hsa04934;hsa04936;hsa05010;hsa05022;hsa05100;hsa05132;hsa05160;hsa05163;hsa05165;hsa05167;hsa05200;hsa05205;hsa05210;hsa05213;hsa05215;hsa05216;hsa05217;hsa05224;hsa05225;hsa05226;hsa05412;hsa05418
MONDO:0010489,
MONDO:0010482,hsa04614
MONDO:0010483,
MONDO:0010484,hsa04151;hsa04510;hsa04512;hsa04926;hsa04933;hsa04974;hsa05146;hsa05165;hsa05200;hsa05222
MONDO:0010485,
MONDO:0009475,hsa00280;hsa01100
MONDO:0008143,
MONDO:0009479,
MONDO:0008147,hsa04151;hsa04510;hsa04512;hsa04611;hsa04926;hsa04933;hsa04974;hsa05146;hsa05165;hsa05205;hsa05415
MONDO:0008147,hsa04151;hsa04510;hsa04512;hsa04611;hsa04926;hsa04933;hsa04974;hsa05146;hsa05165;hsa05205;hsa05415
MONDO:0008146,hsa04151;hsa04510;hsa04512;hsa04611;hsa04926;hsa04933;hsa04974;hsa05146;hsa05165;hsa05205;hsa05415
MONDO:0009478,
MONDO:0008148,hsa04151;hsa04510;hsa04512;hsa04611;hsa04926;hsa04933;hsa04974;hsa05146;hsa05165;hsa05205;hsa05415
MONDO:0008148,hsa04151;hsa04510;hsa04512;hsa04611;hsa04926;hsa04933;hsa04974;hsa05146;hsa05165;hsa05205;hsa05415
MONDO:0010490,hsa04141
MONDO:0010491,
MONDO:0010492,
MONDO:0009472,hsa00232;hsa00983;hsa01100;hsa05204
MONDO:0009470,hsa04015;hsa04145;hsa04210;hsa04390;hsa04510;hsa04520;hsa04530;hsa04611;hsa04613;hsa04670;hsa04714;hsa04810;hsa04919;hsa04921;hsa04971;hsa05014;hsa05100;hsa05110;hsa05130;hsa05131;hsa05132;hsa05135;hsa05164;hsa05205;hsa05225;hsa05410;hsa05412;hsa05414;hsa05416;hsa05418
MONDO:0010497,hsa04622;hsa05161;hsa05203
MONDO:0010498,hsa00100;hsa01100
MONDO:0010499,
MONDO:0010493,
MONDO:0010494,hsa00190;hsa01100;hsa04714;hsa04723;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0010495,
MONDO:0033116,hsa03410
MONDO:0010496,hsa03013;hsa03040
MONDO:0033115,hsa04136;hsa04137;hsa04140;hsa04211;hsa04213;hsa04216;hsa04621;hsa04622;hsa05131
MONDO:0010457,
MONDO:0011789,
MONDO:0011789,hsa04390;hsa04392;hsa04530
MONDO:0011789,hsa01521;hsa04010;hsa04014;hsa04015;hsa04020;hsa04072;hsa04151;hsa04510;hsa04540;hsa04630;hsa04810;hsa05167;hsa05200;hsa05206;hsa05211;hsa05214;hsa05215;hsa05218;hsa05231;hsa05418
MONDO:0011789,hsa04340;hsa05200;hsa05217
MONDO:0011789,hsa00562;hsa01100;hsa01521;hsa04068;hsa04070;hsa04071;hsa04115;hsa04140;hsa04150;hsa04151;hsa04218;hsa04510;hsa04931;hsa05165;hsa05166;hsa05200;hsa05206;hsa05208;hsa05213;hsa05214;hsa05215;hsa05218;hsa05222;hsa05224;hsa05225;hsa05230;hsa05235;hsa05415
MONDO:0011789,hsa04714;hsa05225
MONDO:0010459,hsa04141;hsa05014
MONDO:0008176,hsa04137;hsa04140;hsa04217;hsa04218;hsa04380;hsa05014;hsa05022;hsa05131;hsa05418
MONDO:0008178,hsa04141;hsa05014;hsa05022;hsa05134
MONDO:0008179,hsa04742
MONDO:0008170,hsa04015;hsa04310;hsa04390;hsa04510;hsa04520;hsa04550;hsa04670;hsa04916;hsa04919;hsa04934;hsa04936;hsa05010;hsa05022;hsa05100;hsa05132;hsa05160;hsa05163;hsa05165;hsa05167;hsa05200;hsa05205;hsa05210;hsa05213;hsa05215;hsa05216;hsa05217;hsa05224;hsa05225;hsa05226;hsa05412;hsa05418
MONDO:0008170,hsa01521;hsa01522;hsa01524;hsa04010;hsa04012;hsa04020;hsa04066;hsa04151;hsa04510;hsa04520;hsa04530;hsa05200;hsa05205;hsa05206;hsa05212;hsa05213;hsa05215;hsa05219;hsa05223;hsa05224;hsa05226;hsa05230
MONDO:0008170,hsa01521;hsa01522;hsa01524;hsa04010;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04071;hsa04072;hsa04140;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04218;hsa04261;hsa04370;hsa04371;hsa04380;hsa04510;hsa04550;hsa04611;hsa04613;hsa04620;hsa04625;hsa04630;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04722;hsa04725;hsa04728;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04920;hsa04922;hsa04923;hsa04926;hsa04929;hsa04931;hsa04932;hsa04933;hsa04935;hsa04936;hsa04973;hsa05010;hsa05017;hsa05131;hsa05132;hsa05135;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05162;hsa05163;hsa05164;hsa05165;hsa05166;hsa05167;hsa05168;hsa05169;hsa05170;hsa05200;hsa05205;hsa05207;hsa05208;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05231;hsa05235;hsa05415;hsa05417;hsa05418
MONDO:0008170,
MONDO:0008170,hsa04120;hsa04137;hsa04141;hsa05012;hsa05014;hsa05022
MONDO:0008170,hsa00562;hsa01100;hsa01521;hsa01522;hsa01524;hsa04012;hsa04014;hsa04015;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04140;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04218;hsa04360;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04613;hsa04620;hsa04625;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04923;hsa04926;hsa04929;hsa04930;hsa04931;hsa04932;hsa04933;hsa04935;hsa04960;hsa04973;hsa05010;hsa05017;hsa05020;hsa05100;hsa05131;hsa05132;hsa05135;hsa05142;hsa05146;hsa05160;hsa05161;hsa05162;hsa05163;hsa05164;hsa05165;hsa05166;hsa05167;hsa05168;hsa05169;hsa05170;hsa05171;hsa05200;hsa05203;hsa05205;hsa05206;hsa05207;hsa05208;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05231;hsa05235;hsa05415;hsa05417;hsa05418
MONDO:0008170,hsa04015;hsa04371;hsa04390;hsa04514;hsa04520;hsa05100;hsa05200;hsa05213;hsa05216;hsa05218;hsa05219;hsa05226
MONDO:0011790,
MONDO:0008172,
MONDO:0008174,hsa04915;hsa05150
MONDO:0008173,hsa04915;hsa05150
MONDO:0010465,hsa05202
MONDO:0011797,hsa05014;hsa05022
MONDO:0010466,hsa00563;hsa01100
MONDO:0011798,hsa00770;hsa01100;hsa01240
MONDO:0010461,hsa04120
MONDO:0011792,hsa04918
MONDO:0011794,hsa04728
MONDO:0010463,hsa04613;hsa05014;hsa05034;hsa05203
MONDO:0010469,hsa00310;hsa01100
MONDO:0008165,hsa04966
MONDO:0009495,
MONDO:0009499,hsa00600;hsa01100;hsa04142
MONDO:0009490,hsa04142;hsa04210
MONDO:0009491,hsa04142;hsa04210
MONDO:0008162,
MONDO:0009492,hsa00280;hsa00650;hsa01100
MONDO:0010475,
MONDO:0010476,
MONDO:0010477,hsa04919
MONDO:0010478,
MONDO:0010471,hsa04613;hsa05034;hsa05203
MONDO:0010472,hsa00510;hsa00513;hsa01100
MONDO:0010473,
MONDO:0010474,hsa00190;hsa01100;hsa04260;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
MONDO:0033091,hsa00140;hsa01100
MONDO:0033092,
MONDO:0021093,
MONDO:0021083,
MONDO:0060659,hsa04024;hsa04080;hsa04727;hsa04742;hsa04915;hsa04929;hsa05032
MONDO:0060650,hsa04145;hsa04540;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05130;hsa05132
MONDO:0060663,
MONDO:0060664,
MONDO:0060662,hsa04060;hsa04066;hsa04151;hsa04630;hsa04640;hsa05200
MONDO:0060666,hsa04310;hsa04330;hsa05200;hsa05220
MONDO:0060670,hsa04144;hsa04728;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05132;hsa05223
MONDO:0060671,
MONDO:0009329,hsa04140;hsa04141;hsa05160;hsa05162;hsa05168
MONDO:0010318,
MONDO:0010319,hsa04614
MONDO:0012977,
MONDO:0010315,hsa04060;hsa04061;hsa04144;hsa04151;hsa04630;hsa04658;hsa04659;hsa05162;hsa05166;hsa05200;hsa05321;hsa05340
MONDO:0012976,
MONDO:0012979,
MONDO:0010317,
MONDO:0012978,
MONDO:0009324,hsa04974;hsa04978
MONDO:0011652,hsa04724
MONDO:0010321,hsa04514
MONDO:0012984,
MONDO:0012983,hsa05202
MONDO:0012986,hsa00562;hsa01100;hsa05014;hsa05022
MONDO:0011655,hsa05202
MONDO:0012985,
MONDO:0012980,
MONDO:0011650,
MONDO:0012982,hsa04721;hsa04724;hsa05016
MONDO:0012981,hsa04966
MONDO:0010320,
MONDO:0011651,hsa04710
MONDO:0009319,hsa00770;hsa01100;hsa01240
MONDO:0012988,hsa04010;hsa04014;hsa04015;hsa04020;hsa04151;hsa04810;hsa05200;hsa05207;hsa05218;hsa05224;hsa05226
MONDO:0010325,
MONDO:0012987,hsa04662
MONDO:0010327,hsa00280;hsa01100;hsa05010;hsa05022
MONDO:0011658,hsa05012;hsa05022
MONDO:0010328,
MONDO:0012989,
MONDO:0009310,hsa04145;hsa04380;hsa04613;hsa04670;hsa05020;hsa05140;hsa05208;hsa05415;hsa05417;hsa05418
MONDO:0009314,hsa00790;hsa01100;hsa01240
MONDO:0009315,hsa04610
MONDO:0011663,hsa05014;hsa05022
MONDO:0012994,hsa00790;hsa01100;hsa01240
MONDO:0010333,hsa04136;hsa04140
MONDO:0011664,hsa04060;hsa04061;hsa04144;hsa04151;hsa04630;hsa04640;hsa04658;hsa04659;hsa05162;hsa05166;hsa05200
MONDO:0010334,hsa04141;hsa05165
MONDO:0012996,hsa00260;hsa00330;hsa01100
MONDO:0010335,hsa04010;hsa04020;hsa04022;hsa04024;hsa04260;hsa04261;hsa04270;hsa04723;hsa04725;hsa04726;hsa04727;hsa04911;hsa04912;hsa04921;hsa04924;hsa04925;hsa04927;hsa04929;hsa04934;hsa04935;hsa05010;hsa05020;hsa05022;hsa05207;hsa05410;hsa05412;hsa05414
MONDO:0012991,hsa00140;hsa00510;hsa01100
MONDO:0011660,hsa05130;hsa05132
MONDO:0012990,hsa00830;hsa01100;hsa01240
MONDO:0010330,
MONDO:0012992,hsa00190;hsa01100;hsa04260;hsa04714;hsa04932;hsa05010;hsa05012;hsa05014;hsa05016;hsa05020;hsa05022;hsa05208;hsa05415
