entrezgene,go.BP,go.CC,go.MF,pathway.kegg
2690,GO:0019530;GO:0043278;GO:1901215;GO:0042531;GO:0048009;GO:0043406;GO:0046427;GO:0032094;GO:0070555;GO:0045597;GO:0042445;GO:0019221;GO:0060351;GO:0040018;GO:0060396;GO:0007259;GO:0009755;GO:0032869;GO:0040014;GO:0032870;GO:0006897;GO:0042976;GO:0050731;GO:0051384,GO:0070195;GO:0005886;GO:0043235;GO:0009986;GO:0016021;GO:0005576;GO:0036464;GO:0043025;GO:0009897;GO:0005887;GO:0005739;GO:0005615;GO:0005829;GO:0005634,GO:0042802;GO:0004903;GO:0070064;GO:0004896;GO:0005515;GO:0019901;GO:0019903;GO:0042803;GO:0019838;GO:0017046;GO:0042169;GO:0019955,hsa04080;hsa04935;hsa04630;hsa04151;hsa04060
4544,GO:0051971;GO:0043010;GO:0046010;GO:0045906;GO:0043524;GO:0051481;GO:1902260;GO:0007187;GO:0046676;GO:0007186;GO:0050796;GO:0010754;GO:0051970;GO:0098908;GO:0007268;GO:0042593,GO:0045202;GO:0005887;GO:0005886,GO:0004930;GO:0008502;GO:0005515,hsa04080;hsa04713
643,GO:0019722;GO:0048535;GO:0060326;GO:0070098;GO:0042113;GO:0030595;GO:0007186;GO:0032467;GO:0007204;GO:0006955,GO:0005887;GO:0009897;GO:0005886,GO:0019957;GO:0016493;GO:0016494;GO:0004930;GO:0005515,hsa04062;hsa04060;hsa04061
2065,GO:0042060;GO:0042127;GO:0007422;GO:0097192;GO:0009968;GO:0007162;GO:0043524;GO:0007507;GO:0014037;GO:0007165;GO:0007399;GO:0051402;GO:0007275;GO:0061098;GO:0014068;GO:0021545;GO:0008284;GO:0007169;GO:0033674;GO:0014065;GO:0051048;GO:0018108,GO:0005886;GO:0043235;GO:0038143;GO:0009925;GO:0016323;GO:0005887;GO:0005615,GO:0042802;GO:0004888;GO:0004714;GO:0038132;GO:0005515;GO:0038131;GO:0043125;GO:0046982;GO:0031625;GO:0019838;GO:0005524;GO:0004713;GO:0030296,hsa05205;hsa04020;hsa04012;hsa04010;hsa04151;hsa05206
150,GO:0071875;GO:0032811;GO:0050995;GO:0030335;GO:0046676;GO:0043406;GO:0045741;GO:0007266;GO:0050892;GO:0035624;GO:0010700;GO:0001819;GO:0032148;GO:0043410;GO:0071882;GO:0030036;GO:0007189;GO:0045955;GO:0090303;GO:0071881;GO:0051926;GO:0071880;GO:0007265;GO:1901020;GO:0030168;GO:0006940;GO:0042593;GO:0007193;GO:0032147;GO:0043268;GO:0051044;GO:0008284;GO:0061179;GO:0032870;GO:2000300;GO:0042596;GO:0007186;GO:0019229,GO:0005737;GO:0005886;GO:0043235;GO:0016323;GO:0098691;GO:0005887,GO:0051379;GO:0051380;GO:0046982;GO:0019901;GO:0004930;GO:0005515;GO:0042803;GO:0031996;GO:0031696;GO:0031692;GO:0004938;GO:0032795,hsa04080;hsa04022
9628,GO:0035556;GO:0009968;GO:0008277;GO:0007186;GO:0043547,GO:0005886;GO:0005829;GO:0019898;GO:0005634,GO:0005096;GO:0005515;GO:0003924,
1230,GO:0019722;GO:0009611;GO:0051928;GO:0030335;GO:0007187;GO:0030502;GO:0006954;GO:0006955;GO:0060326;GO:0019221;GO:0007204;GO:0006887;GO:0045672;GO:0006935;GO:0006816;GO:0007267;GO:0070374;GO:0090026;GO:0002407;GO:0010629;GO:0007155;GO:0070098;GO:0006874;GO:0007166,GO:0005737;GO:0005887;GO:0009897;GO:0005886,GO:0035717;GO:0019957;GO:0016493;GO:0004435;GO:0005515;GO:0004950;GO:0071791,hsa05167;hsa04062;hsa05163;hsa04060;hsa04061
104909134,,,,
6382,GO:0042060;GO:0042476;GO:0001657;GO:0060070;GO:0016477;GO:0060009;GO:0051591;GO:0055002;GO:0051592;GO:1903553;GO:0006954;GO:0048627;GO:1903543;GO:0051384;GO:0042542;GO:0009636,GO:0005886;GO:0009986;GO:0043202;GO:0009897;GO:0032991;GO:0005887;GO:0005796;GO:0070062,GO:0005515;GO:0042802;GO:0008022,hsa05205;hsa04514;hsa04512;hsa05418;hsa05144
2864,GO:0032691;GO:0030073;GO:0051928;GO:0007186;GO:0032024;GO:0007204;GO:0070542;GO:0042593,GO:0005887;GO:0005886,GO:0008289;GO:0045125;GO:0004930,hsa04911
54331,GO:0071380;GO:0007186;GO:0007191;GO:0071870,GO:0005834;GO:0016020;GO:0005886;GO:0070062,GO:0005515;GO:0031681,hsa05170;hsa04926;hsa04724;hsa05200;hsa04371;hsa05167;hsa05032;hsa04062;hsa05163;hsa04723;hsa04725;hsa04727;hsa04151;hsa04713;hsa04728;hsa04014;hsa04726;hsa05034
29899,GO:0060236;GO:0051661;GO:1904778;GO:0031291;GO:0007052;GO:0007186;GO:0000132;GO:0051301;GO:0050790;GO:1905832,GO:0005737;GO:0005938;GO:0016328;GO:0097431;GO:0099738;GO:0005813;GO:0097575;GO:0032991;GO:0005829,GO:0042802;GO:0000166;GO:0043621;GO:0005515;GO:0001965;GO:0005092;GO:0019904;GO:0070840;GO:0008022,
10287,GO:0006914;GO:0009968;GO:0007264;GO:0007186;GO:0045471,GO:0005903;GO:0005886;GO:0045121;GO:0016020;GO:0030136;GO:0005794,GO:0005515;GO:0001965;GO:0003924,
2790,GO:0007165;GO:0007186,GO:0005834;GO:0005886,GO:0005515;GO:0003924;GO:0031681,hsa05170;hsa04926;hsa04724;hsa05200;hsa04371;hsa05167;hsa05032;hsa04062;hsa05163;hsa04723;hsa04725;hsa04727;hsa04151;hsa04713;hsa04728;hsa04014;hsa04726;hsa05034
55970,GO:0032496;GO:0007165;GO:0021987;GO:0007186,GO:0005834;GO:0005886;GO:0005884;GO:0070062,GO:0005515;GO:0042301;GO:0030165;GO:0031681,hsa04724;hsa04371;hsa05032;hsa04010;hsa04713;hsa04926;hsa04014;hsa04726;hsa05200;hsa05167;hsa04723;hsa04151;hsa04062;hsa05170;hsa04728;hsa05034;hsa05163;hsa04727;hsa04725;hsa04810
774,GO:0070509;GO:0050804;GO:1904645;GO:0006816;GO:0034765;GO:0007268;GO:0070588,GO:0045202;GO:0005891;GO:0005886,GO:0005515;GO:0001540;GO:0005509;GO:0008331;GO:0005524;GO:0005245;GO:0008022,hsa05033;hsa04721;hsa04020;hsa05020;hsa05016;hsa05022;hsa05032;hsa04930;hsa04723;hsa04010;hsa04727;hsa04725;hsa04728;hsa04726
64131,GO:0015012;GO:0006024;GO:0030203;GO:0043931;GO:0050650;GO:0048706;GO:0030206;GO:0030166,GO:0000137;GO:0005615;GO:0016021;GO:0000139,GO:0030158;GO:0046872,hsa00534;hsa00532
868,GO:0046642;GO:0035556;GO:0006607;GO:0018193;GO:0050852;GO:2000583;GO:0031398;GO:0043087;GO:0007165;GO:0002669;GO:0042110;GO:0045732;GO:0016567;GO:0007175;GO:0006955;GO:0050860;GO:0043393,GO:0005829;GO:0005886;GO:0005654;GO:0045121,GO:0008270;GO:0001784;GO:0017124;GO:0061630;GO:0005515;GO:0005509;GO:0030971,hsa04910;hsa04625;hsa04012;hsa04660;hsa05162;hsa04144;hsa04120
27,GO:0006464;GO:0035640;GO:0071300;GO:0007155;GO:0051353;GO:0035024;GO:2000145;GO:0010976;GO:0010863;GO:0007165;GO:2000249;GO:0030155;GO:0030100;GO:0010506;GO:0007204;GO:0018108,GO:0015629;GO:0005829,GO:0001784;GO:0004714;GO:0005515;GO:0003785;GO:0030145;GO:0005524;GO:0051015;GO:0004715;GO:0004713;GO:0000287;GO:0004672,hsa04012;hsa05416;hsa04014
375519,GO:0055085;GO:0007267,GO:0005922;GO:0016021,GO:0005243,
10399,GO:0017148;GO:0051726;GO:0030335;GO:1903208;GO:0006919;GO:0048511;GO:0051898;GO:0061099;GO:0043547;GO:0071363;GO:2000114;GO:0033137;GO:0007049;GO:0050765;GO:0051302;GO:0051343;GO:0016567;GO:0045879;GO:2000543;GO:0030178;GO:0007369;GO:1900102;GO:0006915;GO:0032091;GO:0043065;GO:0001934;GO:0031334;GO:0010629;GO:0032880;GO:0032436;GO:0072344;GO:2001244;GO:0071333;GO:0043473;GO:0030308;GO:0042998;GO:0051901,GO:0001891;GO:0005737;GO:0030425;GO:0048471;GO:0043025;GO:0015935;GO:0043204;GO:1990630;GO:0005654;GO:0030496;GO:0005739;GO:0070062;GO:0005829;GO:0005634,GO:0005102;GO:0045296;GO:0008200;GO:0008656;GO:0019899;GO:0005515;GO:0019903;GO:0042803;GO:0043022;GO:0060090;GO:0030292;GO:0051434;GO:0030332;GO:0005080;GO:0030971;GO:0042169;GO:0003723;GO:0035591,hsa05162
4233,GO:0031116;GO:0061436;GO:0048012;GO:0070495;GO:0001889;GO:0006909;GO:0050918;GO:0031016;GO:0001886;GO:1901299;GO:0071526;GO:0007165;GO:0045944;GO:0007399;GO:0051897;GO:0016477;GO:0007275;GO:0007169;GO:0030182;GO:0033674;GO:1905098;GO:0010507;GO:0048754;GO:0051497;GO:2001028;GO:0035024;GO:0018108;GO:0007166,GO:0005886;GO:0043235;GO:0009986;GO:0016021;GO:0005576;GO:0009925;GO:0005887,GO:0042802;GO:0005008;GO:0004714;GO:0005515;GO:0019903;GO:0017154;GO:0005524;GO:0004713,hsa04360;hsa04020;hsa04010;hsa04014;hsa05211;hsa05200;hsa05223;hsa04015;hsa04151;hsa05202;hsa04510;hsa05205;hsa05225;hsa05230;hsa05218;hsa05206;hsa05100;hsa05226;hsa05120;hsa05144;hsa04520
2775,GO:0006936;GO:0009410;GO:0030900;GO:0007568;GO:0042475;GO:0007626;GO:0043278;GO:0007188;GO:0007212;GO:0008016;GO:0051926;GO:0034097;GO:0043547;GO:0031175;GO:0042542,GO:0005886;GO:0044297;GO:0030425;GO:0005834;GO:0043209,GO:0031821;GO:0051430;GO:0031683;GO:0005515;GO:0046872;GO:0001664;GO:0031852;GO:0032794;GO:0005525;GO:0003924,hsa04724;hsa05032;hsa05145;hsa04921;hsa04713;hsa04926;hsa04916;hsa04726;hsa04015;hsa04723;hsa04915;hsa05170;hsa04728;hsa05034;hsa04730;hsa05163;hsa05142;hsa04727;hsa04725
1969,GO:0030316;GO:0021915;GO:0048013;GO:0060444;GO:0051898;GO:0043491;GO:0006954;GO:0072659;GO:0050830;GO:0014028;GO:0033598;GO:0045765;GO:0016525;GO:0060326;GO:0036342;GO:1903348;GO:0046058;GO:0048870;GO:0070309;GO:1904238;GO:0010591;GO:0002043;GO:0060035;GO:0090630;GO:0001570;GO:0043535;GO:0016477;GO:0007275;GO:0001501;GO:0070848;GO:0007411;GO:1903078;GO:0001649;GO:0048320;GO:0046849;GO:0007155;GO:0007169;GO:0046718;GO:0030216;GO:0033674;GO:0032682;GO:1901491;GO:0008630;GO:0033628;GO:0018108;GO:0070372,GO:0031258;GO:0005886;GO:0043235;GO:0009986;GO:0005925;GO:0043005;GO:0030027;GO:0031256;GO:0032587;GO:0005887;GO:0070160,GO:0045296;GO:0001618;GO:0004714;GO:0005515;GO:0005005;GO:0005524;GO:0019838,hsa04360;hsa04015;hsa04010;hsa04151;hsa04014
1399,GO:0035556;GO:0035685;GO:0048384;GO:0098761;GO:0003151;GO:0006629;GO:0007254;GO:0021987;GO:0095500;GO:0098749;GO:0001783;GO:0060326;GO:1904888;GO:0050852;GO:0038026;GO:0001764;GO:0007165;GO:0021766;GO:0060465;GO:0009952;GO:0001558;GO:0007338;GO:0071560;GO:0090630;GO:0001568;GO:0007416;GO:0048538;GO:0016477;GO:0070374;GO:0001934;GO:0050773;GO:0007265;GO:0010629;GO:0060017;GO:0008543;GO:0086100;GO:1903977;GO:0001933;GO:0007283;GO:0008284;GO:0016358;GO:0008584;GO:0030010;GO:0001655;GO:1900026;GO:1904393;GO:0033628;GO:2000404;GO:0071466,GO:0031594;GO:0005654;GO:0032991;GO:0005829;GO:0098890,GO:0045296;GO:0001784;GO:0042802;GO:0005515;GO:0035591;GO:0030971;GO:0003723,hsa05135;hsa04010;hsa04012;hsa05200;hsa05211;hsa04015;hsa04510;hsa04666;hsa04910;hsa04062;hsa04722;hsa05170;hsa05206;hsa05100;hsa04935;hsa05131;hsa05163;hsa05220;hsa04810
27293,GO:0008150;GO:0045087;GO:0050728;GO:0046466;GO:0006954;GO:0006685;GO:0034122,GO:0031225;GO:0005615;GO:0005886;GO:0070062,GO:0008270;GO:0004767;GO:0016798;GO:0008081,
84548,,GO:0030425;GO:0016021,GO:0005515,
114787,GO:0031175,GO:0030426;GO:0005886,GO:0051219,
5064,GO:0008360;GO:0007010;GO:0071257;GO:0051491;GO:0060074;GO:0072659;GO:0007194;GO:0007193;GO:0060160,GO:0014069;GO:0005886;GO:0016327;GO:0032591;GO:0030424;GO:0016323;GO:0005654;GO:0031235;GO:0031527;GO:0031410,GO:0031750;GO:0005515,
7409,GO:0051056;GO:0038095;GO:0008361;GO:0072593;GO:0030168;GO:0043547;GO:0030593;GO:0030217;GO:0031295;GO:0043087;GO:0007264;GO:0007186;GO:0045954;GO:0048010;GO:0007229;GO:0038096;GO:0006955,GO:0005911;GO:0005886;GO:0005829,GO:0001784;GO:0140031;GO:0005515;GO:0046872;GO:0005085,hsa05205;hsa04810;hsa04664;hsa04662;hsa04650;hsa04062;hsa05135;hsa04015;hsa04660;hsa05417;hsa04024;hsa04670;hsa04510;hsa04666
10544,GO:0050819;GO:0007596,GO:0005886;GO:0009986;GO:0005925;GO:0005576;GO:0048471;GO:0005813;GO:0005887;GO:0005615;GO:0070062,GO:0005515;GO:0038023,hsa04610
2787,GO:0007165;GO:0007186,GO:0005834;GO:0016020;GO:0005886;GO:0070062,GO:0005515;GO:0003924;GO:0030165;GO:0031681,hsa05170;hsa04926;hsa04724;hsa05200;hsa04371;hsa05167;hsa05032;hsa04062;hsa05163;hsa04723;hsa04725;hsa04727;hsa04151;hsa04713;hsa04728;hsa04014;hsa04726;hsa05034
