entrezgene,go.BP,go.CC,go.MF,pathway.kegg
5159,GO:0034405;GO:0042060;GO:0035441;GO:0055093;GO:0032956;GO:0030335;GO:0043406;GO:0046488;GO:0032526;GO:0035789;GO:0048146;GO:0043066;GO:0060981;GO:0071670;GO:0048839;GO:0035791;GO:0048661;GO:0060326;GO:0035793;GO:2000491;GO:0060437;GO:0010863;GO:0072277;GO:0007165;GO:0072278;GO:0032516;GO:0072075;GO:0009636;GO:0007568;GO:0072262;GO:0001525;GO:0050921;GO:0055003;GO:0016477;GO:0007275;GO:0070374;GO:2000379;GO:0035025;GO:0043065;GO:0036120;GO:0046777;GO:0032355;GO:0072284;GO:2000573;GO:0014911;GO:0043627;GO:0048015;GO:0090280;GO:0014068;GO:0042542;GO:0045840;GO:0008284;GO:0007169;GO:0008584;GO:0006024;GO:0033674;GO:0035909;GO:0007186;GO:0061298;GO:0038091;GO:0043552;GO:0018108;GO:0048008;GO:0032967,GO:0005737;GO:0031226;GO:0005886;GO:0043235;GO:0009986;GO:0005925;GO:0016324;GO:0043202;GO:0043231;GO:0016020;GO:0005887;GO:0031410;GO:0005794;GO:0005634,GO:0005102;GO:0005161;GO:0005019;GO:0043548;GO:0004714;GO:0048407;GO:0019899;GO:0005515;GO:0019901;GO:0038085;GO:0019838;GO:0005524;GO:0005017;GO:0004992;GO:0004713,hsa04810;hsa05165;hsa04020;hsa04540;hsa05214;hsa05200;hsa05218;hsa05230;hsa05215;hsa04015;hsa04510;hsa04010;hsa04630;hsa05231;hsa04151;hsa04014;hsa04072;hsa05206
5335,GO:0019722;GO:1905564;GO:0050804;GO:0071364;GO:0043536;GO:0050852;GO:0051281;GO:0016477;GO:0045766;GO:0046488;GO:2000353;GO:0001701;GO:0010634;GO:0009395;GO:0007173;GO:0038095;GO:0002862,GO:0005737;GO:0005886;GO:0001726;GO:0005911;GO:0042995;GO:0030027;GO:0098978;GO:0032587;GO:0098685;GO:0008180;GO:0005829,GO:0050429;GO:0035254;GO:0004435;GO:0005515;GO:0019901;GO:0030971;GO:0004629;GO:0005509;GO:0005168,hsa04360;hsa04933;hsa04020;hsa04919;hsa04650;hsa04370;hsa05022;hsa05135;hsa05231;hsa04014;hsa05171;hsa05214;hsa04012;hsa04064;hsa05200;hsa04659;hsa05167;hsa04658;hsa04613;hsa04015;hsa05223;hsa04660;hsa04072;hsa04666;hsa05205;hsa05225;hsa05110;hsa04750;hsa04062;hsa04722;hsa04066;hsa05170;hsa04670;hsa05206;hsa04664;hsa05012;hsa00562;hsa04070;hsa04935;hsa05120;hsa05131;hsa05235;hsa05417
2057,GO:0007420;GO:0038162;GO:0007507;GO:0007165;GO:0046697,GO:0005887;GO:0005576;GO:0005886;GO:0016607,GO:0005515;GO:0042802;GO:0004900,hsa04640;hsa05200;hsa04630;hsa04151;hsa04060
2792,GO:0007602;GO:0010659;GO:0008104;GO:0007165;GO:0007186;GO:0071456;GO:0042462,GO:0001917;GO:0005834;GO:0097381,GO:0005515;GO:0003924;GO:0031681,hsa04724;hsa04371;hsa05032;hsa04744;hsa04713;hsa04926;hsa04014;hsa04726;hsa05200;hsa05167;hsa04723;hsa04151;hsa04062;hsa05170;hsa04728;hsa05034;hsa05163;hsa04727;hsa04725
1268,GO:0019222;GO:0007584;GO:0043278;GO:0031999;GO:0010976;GO:0098921;GO:0051001;GO:0007187;GO:0060405;GO:0045759;GO:0031622;GO:0051966;GO:0007413;GO:0032496;GO:0060135;GO:0007188;GO:0035094;GO:0038171;GO:0033004;GO:0050796;GO:0032228;GO:0014063;GO:0045471;GO:0002866;GO:0007189;GO:0007568;GO:0099553;GO:0042220;GO:0043065;GO:0042593;GO:0007613;GO:0033602;GO:0007283;GO:0045777;GO:0019233;GO:0045776;GO:0060259;GO:0099703,GO:0005737;GO:0005886;GO:0045121;GO:0099056;GO:0030426;GO:0015629;GO:0005741;GO:0098982;GO:0098978;GO:0005887;GO:0032592,GO:0004949;GO:0042802;GO:0004930;GO:0005515;GO:0099635,hsa04080;hsa04015;hsa04714;hsa04723
5295,GO:0033120;GO:0030335;GO:0032760;GO:0042307;GO:0048009;GO:1900103;GO:0006606;GO:0034446;GO:0043066;GO:0046326;GO:0008286;GO:0006468;GO:0034644;GO:0045671;GO:0046854;GO:0034976;GO:0045944;GO:0060396;GO:1903078;GO:0008625;GO:0032869;GO:0046626;GO:0010592;GO:0001678;GO:0030183;GO:0051491;GO:0050821;GO:0014065;GO:0043551;GO:0001953;GO:0008630;GO:0051497;GO:0120183,GO:0005737;GO:0005886;GO:0005911;GO:1990578;GO:0005942;GO:0048471;GO:0005943;GO:0016020;GO:0005801;GO:0005829;GO:0005634,GO:0035014;GO:0001784;GO:0036312;GO:0046935;GO:0043548;GO:0043125;GO:0046982;GO:0005515;GO:0005159;GO:0019903;GO:0043559;GO:0043560;GO:0005158;GO:0008134;GO:0005168;GO:0005068,hsa04914;hsa04926;hsa04668;hsa05211;hsa04213;hsa04613;hsa05215;hsa04660;hsa04151;hsa04072;hsa05205;hsa04550;hsa04923;hsa05415;hsa05170;hsa04611;hsa05213;hsa04670;hsa05226;hsa05212;hsa04380;hsa04935;hsa05131;hsa04210;hsa04725;hsa04919;hsa04650;hsa05020;hsa04370;hsa05017;hsa05231;hsa04014;hsa05171;hsa04931;hsa05418;hsa04015;hsa04915;hsa04929;hsa04666;hsa05224;hsa05225;hsa04750;hsa05010;hsa04722;hsa04630;hsa05160;hsa05218;hsa05206;hsa04664;hsa04070;hsa04140;hsa04068;hsa05168;hsa05165;hsa04625;hsa04932;hsa05166;hsa04152;hsa04071;hsa05221;hsa04620;hsa04062;hsa05146;hsa05100;hsa04662;hsa05164;hsa04960;hsa05235;hsa05203;hsa05142;hsa04810;hsa04360;hsa04933;hsa05135;hsa05214;hsa04012;hsa05200;hsa05167;hsa04150;hsa05223;hsa05222;hsa04510;hsa04218;hsa04910;hsa05230;hsa04930;hsa04066;hsa04024;hsa04211;hsa05210;hsa05163;hsa05220;hsa04917;hsa05169;hsa04973;hsa05162;hsa05417;hsa05161
1903,GO:0009653;GO:0019222;GO:0003376;GO:0007189;GO:0008284;GO:0007219;GO:1903141;GO:0007186;GO:0032651;GO:0006954;GO:0007204;GO:0007193,GO:0005737;GO:0005887;GO:0005576;GO:0005886,GO:0038036;GO:0005178;GO:0005515;GO:0004930;GO:0008289,hsa04080;hsa04071
1398,GO:1990314;GO:0035685;GO:0001878;GO:0032956;GO:0048013;GO:0043087;GO:0006629;GO:0021987;GO:1990090;GO:0008360;GO:0098749;GO:0060326;GO:0038026;GO:0001764;GO:0007165;GO:0021766;GO:0061847;GO:0006357;GO:0071560;GO:0071732;GO:0030036;GO:1902531;GO:0090630;GO:0035728;GO:0016477;GO:1990859;GO:0061045;GO:0009966;GO:0050773;GO:0014911;GO:0042542;GO:2000146;GO:0045953;GO:0035020;GO:0016358;GO:0030010;GO:1900026;GO:0033628;GO:2000404;GO:0043393,GO:0005737;GO:0005886;GO:0045121;GO:0015629;GO:0016020;GO:0032991;GO:0070062;GO:0005829;GO:0005634,GO:0001784;GO:0017124;GO:0030159;GO:0097110;GO:0019900;GO:0046875;GO:0005515;GO:0005159;GO:1990782;GO:0008092;GO:0031625;GO:0045309;GO:0035591;GO:0030971;GO:0042169;GO:0043621,hsa05135;hsa04010;hsa04012;hsa05200;hsa05211;hsa04015;hsa04510;hsa04666;hsa04910;hsa04062;hsa04722;hsa05170;hsa05206;hsa05100;hsa04935;hsa05131;hsa05163;hsa05220;hsa04810
10603,GO:0050873;GO:0019222;GO:0030036;GO:0035556;GO:0050853;GO:0050851;GO:0019221;GO:0007399;GO:0046578;GO:0001922;GO:0008286,GO:0005737;GO:0005886;GO:0001726;GO:0005884;GO:0001725;GO:0005829,GO:0042802;GO:0005515;GO:0042169;GO:0035591;GO:0005068,hsa04910;hsa04722
5082,GO:1902605;GO:0007601;GO:0061084;GO:0030030;GO:0006457;GO:0008277;GO:0045880;GO:0007165,GO:0005737;GO:0005829;GO:0005929,GO:0005515;GO:0044877,
7852,GO:0019722;GO:0043278;GO:0022008;GO:0006954;GO:0006955;GO:1990478;GO:0043067;GO:0071345;GO:0002064;GO:0008038;GO:0035470;GO:0060326;GO:0001764;GO:0022029;GO:0038160;GO:0007204;GO:0043217;GO:0050792;GO:0001666;GO:0050921;GO:0006915;GO:0002407;GO:0009615;GO:1903861;GO:0061154;GO:0050920;GO:0051924;GO:0007420;GO:0048714;GO:0014823;GO:1905322;GO:0046718;GO:2000448;GO:0045446;GO:0060048;GO:0007186;GO:0120162;GO:0050965;GO:0030155;GO:0071466;GO:0050966,GO:0005737;GO:0005886;GO:0031410;GO:0009986;GO:0016021;GO:0031252;GO:0005770;GO:0005764;GO:0009897;GO:0032991;GO:0005769;GO:0070062;GO:0030054;GO:0005634,GO:0043130;GO:0016493;GO:0019957;GO:0001618;GO:0016494;GO:0032027;GO:0004930;GO:0005515;GO:0003779;GO:0031625;GO:0015026;GO:0038147,hsa04360;hsa04670;hsa04020;hsa05200;hsa04062;hsa04672;hsa05163;hsa05170;hsa04060;hsa04061;hsa04144;hsa04810
1901,GO:0019222;GO:0061384;GO:0030335;GO:0030032;GO:0072678;GO:0030595;GO:0043547;GO:0001955;GO:0045944;GO:0006935;GO:0003376;GO:0007189;GO:0050927;GO:0001525;GO:0016477;GO:0031532;GO:0045124;GO:0007193;GO:0007420;GO:0007155;GO:0030500;GO:0045446;GO:0030182;GO:0051482;GO:0007186;GO:0051497;GO:0030155;GO:0003245;GO:0048661;GO:0019226,GO:0005737;GO:0031226;GO:0005886;GO:0045121;GO:0016021;GO:0005768;GO:0043231;GO:0009897;GO:0005654,GO:0038036;GO:0004930;GO:0005515;GO:0001664;GO:0046625,hsa04080;hsa04068;hsa04071
2793,GO:0007602;GO:0007186,GO:0005834,GO:0031681;GO:0003924,hsa05170;hsa04926;hsa04724;hsa05200;hsa04371;hsa05167;hsa05032;hsa04062;hsa05163;hsa04723;hsa04725;hsa04727;hsa04151;hsa04713;hsa04728;hsa04014;hsa04726;hsa05034
64407,GO:0008277;GO:0007186;GO:0009968;GO:0050790,GO:0005737;GO:0005886,GO:0005096;GO:0005515;GO:0003924,
3690,GO:0042060;GO:0007160;GO:0048333;GO:0010595;GO:0034446;GO:0034113;GO:0010745;GO:0099149;GO:0032369;GO:0014909;GO:0010888;GO:0070527;GO:0001938;GO:0051611;GO:0016477;GO:0007596;GO:0001934;GO:0045124;GO:0033627;GO:0007229;GO:0030168;GO:0035295;GO:0032147;GO:0032880;GO:0043277;GO:0050919;GO:0007155;GO:0038027;GO:0046718;GO:0050748;GO:1905598;GO:0060055;GO:0050731;GO:0030949;GO:0031589,GO:0043235;GO:0035868;GO:0042470;GO:0031092;GO:0031527;GO:0035866;GO:0008305;GO:0005925;GO:0098978;GO:0005654;GO:0032587;GO:0032991;GO:0005886;GO:0035867;GO:0005887;GO:0070062;GO:0045202;GO:0031258;GO:0005911;GO:0034683;GO:0009986;GO:0045211;GO:0071062;GO:0031528;GO:0005634,GO:0050840;GO:0005161;GO:0019960;GO:0001618;GO:0042802;GO:0005178;GO:0038132;GO:0043184;GO:0019899;GO:0005515;GO:0003756;GO:0070051;GO:0050839;GO:0015026;GO:0002020;GO:0001968;GO:0031994;GO:0017134,hsa05165;hsa04640;hsa04919;hsa04512;hsa05412;hsa05410;hsa05418;hsa04613;hsa04015;hsa04151;hsa04510;hsa05205;hsa04145;hsa05414;hsa04611;hsa05206;hsa04380;hsa05163;hsa05168;hsa04810
5921,GO:0008360;GO:0035556;GO:0048514;GO:0000281;GO:0007162;GO:0051252;GO:0001570;GO:0043524;GO:0043066;GO:0048013;GO:0001953;GO:0007165;GO:0046580;GO:0043547;GO:0030833,GO:0005737;GO:0005829;GO:0005886;GO:0001726,GO:0005096;GO:0005102;GO:0001784;GO:0051020;GO:0019870;GO:0005515;GO:0003924,hsa04360;hsa04014;hsa04010
3215,GO:0009653;GO:0045446;GO:0048704;GO:0009952;GO:0045944;GO:0006357,GO:0001650;GO:0000785;GO:0005654;GO:0005829;GO:0005634,GO:0000981;GO:1990837;GO:0005515;GO:0000978;GO:0001228,
29785,GO:0042573;GO:0006693;GO:0019373;GO:0042178;GO:0006082;GO:0006690;GO:0006805,GO:0005737;GO:0005783;GO:0043231;GO:0005789,GO:0016836;GO:0016712;GO:0008392;GO:0106256;GO:0004796;GO:0008395;GO:0005515;GO:0008401;GO:0036134;GO:0005506;GO:0004497;GO:0020037,hsa00980;hsa00830
23236,GO:1900087;GO:0016042;GO:0045892;GO:0048009;GO:0045893;GO:0046488;GO:0035723;GO:0021987;GO:0032735;GO:0007165;GO:0080154;GO:0050790;GO:0035722;GO:0046330;GO:2000560;GO:0000086;GO:0060466;GO:0099170;GO:1903140;GO:0048639;GO:2000344;GO:0048015;GO:0040019;GO:0007213;GO:0070498;GO:0007613;GO:0045444;GO:0045663;GO:2000438;GO:0008277;GO:0099178;GO:0007186;GO:0007215,GO:0005737;GO:0031965;GO:0098982;GO:0098794;GO:0000785;GO:0032991;GO:0016607;GO:0098978;GO:0070062;GO:0005829;GO:0005634,GO:0005096;GO:0042802;GO:0004435;GO:0005546;GO:0005515;GO:0019899;GO:0004629;GO:0005509;GO:0005521;GO:0005516,hsa04270;hsa04933;hsa04934;hsa04020;hsa04540;hsa04724;hsa04919;hsa04922;hsa04961;hsa04371;hsa05417;hsa05022;hsa04924;hsa04921;hsa04925;hsa05017;hsa04713;hsa04926;hsa04916;hsa04261;hsa04726;hsa04912;hsa05200;hsa04310;hsa04613;hsa04015;hsa04071;hsa04723;hsa04915;hsa04970;hsa04929;hsa04072;hsa05415;hsa04928;hsa04750;hsa04062;hsa04927;hsa04022;hsa05010;hsa05146;hsa04742;hsa04611;hsa04728;hsa04918;hsa04720;hsa04911;hsa00562;hsa04621;hsa04070;hsa04730;hsa04935;hsa04971;hsa04972;hsa05016;hsa04973;hsa05131;hsa05142;hsa05143;hsa05163;hsa04725
3643,GO:0045725;GO:0150104;GO:0019087;GO:0006355;GO:0030335;GO:0043406;GO:0060267;GO:0046326;GO:0008286;GO:0007612;GO:0005975;GO:0006468;GO:0032148;GO:0043410;GO:1990535;GO:0097062;GO:0051897;GO:0006898;GO:0045821;GO:0007275;GO:0002092;GO:0001934;GO:0032869;GO:0046777;GO:0048639;GO:0043243;GO:0003007;GO:0014068;GO:0042593;GO:0007613;GO:0032147;GO:0045840;GO:0008284;GO:0007169;GO:0045429;GO:0045995;GO:0033674;GO:0007186;GO:0018108;GO:0097242,GO:0005886;GO:0043235;GO:0005899;GO:0005901;GO:0005770;GO:0005764;GO:0030424;GO:0031981;GO:0009897;GO:0016020;GO:0005635;GO:0032809;GO:0005887;GO:0010008;GO:0070062;GO:0032590,GO:0031995;GO:0043548;GO:0004714;GO:0044877;GO:0005515;GO:0005159;GO:0043559;GO:0043560;GO:0001540;GO:0038024;GO:0019904;GO:0005524;GO:0005525;GO:0005009;GO:0004713;GO:0051425;GO:0031994,hsa04913;hsa04932;hsa04010;hsa04014;hsa04931;hsa04150;hsa04152;hsa04213;hsa04015;hsa04151;hsa04072;hsa04910;hsa04923;hsa05415;hsa05010;hsa04022;hsa04930;hsa04066;hsa04211;hsa04960;hsa04068;hsa04520
5782,GO:2000587;GO:0042246;GO:0071364;GO:1901185;GO:0035335;GO:0042058;GO:0006470,GO:0005737;GO:0005925;GO:0042995;GO:0002102;GO:0005654;GO:0005829;GO:0005634,GO:0017124;GO:0004726;GO:0005515;GO:0004725;GO:0004721,
3716,GO:0035556;GO:0006468;GO:0046677;GO:0060333;GO:0038110;GO:0007259;GO:0150105;GO:0019221;GO:1903672;GO:0060337;GO:0018108;GO:0034112;GO:0070102,GO:0005737;GO:0005925;GO:0005768;GO:0005856;GO:0016020;GO:0005829;GO:0005634,GO:0004714;GO:0005515;GO:0019903;GO:0031730;GO:0046872;GO:0031625;GO:0005524;GO:0004715;GO:0004713;GO:0005131,hsa05165;hsa05145;hsa05166;hsa05171;hsa04217;hsa05200;hsa04659;hsa05167;hsa04658;hsa04151;hsa04550;hsa05140;hsa05152;hsa04630;hsa05160;hsa05164;hsa05212;hsa04621;hsa04380;hsa05163;hsa05203;hsa05169;hsa05235;hsa05162;hsa05168;hsa05161
5175,GO:0150107;GO:0030335;GO:0035696;GO:0006909;GO:0050904;GO:0035633;GO:0007159;GO:0061028;GO:0007165;GO:0098742;GO:0008037;GO:0098609;GO:0001934;GO:0070830;GO:0007156;GO:0072672;GO:0072011;GO:0050731;GO:0007166,GO:0030667;GO:0005911;GO:0005886;GO:0045121;GO:0005887;GO:0031092;GO:0032991;GO:0005615;GO:0070062,GO:0005515;GO:0042803;GO:0004888,hsa04514;hsa04670;hsa05144;hsa05418
387882,,,,
25,GO:0090135;GO:0070301;GO:0006355;GO:0050798;GO:1990051;GO:0001922;GO:0071901;GO:0006464;GO:1904528;GO:0006974;GO:0034599;GO:0045184;GO:1904531;GO:0051496;GO:0060563;GO:0045931;GO:0046632;GO:0051353;GO:1903351;GO:0070374;GO:0006298;GO:1901216;GO:0001934;GO:0007229;GO:0038083;GO:0006979;GO:0060020;GO:0030155;GO:0030516;GO:0007173;GO:0018108;GO:0090050;GO:0051726;GO:0032956;GO:0006975;GO:0002322;GO:0034446;GO:0001843;GO:0035791;GO:1903053;GO:0045930;GO:0048536;GO:0032743;GO:0000278;GO:0007204;GO:0030036;GO:1905555;GO:0006914;GO:0042770;GO:0043124;GO:0046777;GO:0048668;GO:0008630;GO:1900026;GO:1902036;GO:0050731;GO:0071103;GO:2000773;GO:0043542;GO:0051444;GO:2000249;GO:2000096;GO:0050852;GO:2001020;GO:2000251;GO:0022408;GO:0030514;GO:0045944;GO:0043065;GO:0050885;GO:0070373;GO:0051882;GO:0072359;GO:0043123;GO:0031113;GO:0050853;GO:0038189;GO:0045580;GO:0009791;GO:2000352;GO:0030100;GO:0021587;GO:0010595;GO:1900275;GO:0006468;GO:0002333;GO:0030035;GO:2000145;GO:0042981;GO:0032489;GO:1905244;GO:0010506;GO:0033690;GO:0038096;GO:0032729;GO:0051894;GO:0048538;GO:1900272;GO:0071222;GO:0051281;GO:0006897,GO:0005737;GO:0005634;GO:0031965;GO:0030425;GO:0031252;GO:0015629;GO:0016604;GO:0048471;GO:0043025;GO:0098794;GO:0005654;GO:0032991;GO:0005739;GO:0005829;GO:0005730,GO:0070064;GO:0004714;GO:0051019;GO:0004715;GO:0016301;GO:0001784;GO:0004515;GO:0019905;GO:0046875;GO:0038191;GO:1990837;GO:0097100;GO:0030145;GO:0004713;GO:0000287;GO:0008022;GO:0000405;GO:0000400;GO:0003785;GO:0005080;GO:0042169;GO:0017124;GO:0003713;GO:0005515;GO:0005524;GO:0051015;GO:0003677;GO:0004672,hsa04360;hsa04110;hsa05130;hsa04012;hsa05200;hsa05220;hsa04722;hsa05416;hsa04014;hsa05206
3241,,GO:0016020,GO:0005509;GO:0005515,
57707,GO:0042127;GO:0031929;GO:0043200;GO:1903204;GO:0030334;GO:0031667;GO:0150032;GO:0032868,GO:0005737;GO:0016020;GO:0005654;GO:0005765;GO:0005829;GO:0005730,GO:0005515,
4688,GO:0042554;GO:0045730;GO:0045087;GO:0006909;GO:0022900;GO:0006968;GO:0006801;GO:0050790,GO:0043020;GO:0001669;GO:0016020;GO:0032010;GO:0005829,GO:0016176;GO:0005515;GO:0031267;GO:0009055;GO:0016175;GO:0008022,hsa05415;hsa05020;hsa05140;hsa04380;hsa04145;hsa05418;hsa04613;hsa05417;hsa04670
80820,GO:0006281;GO:0010875,GO:0005886;GO:0046658,GO:0003677;GO:0005515,
10451,GO:0051056;GO:0050853;GO:0009410;GO:0008361;GO:0038095;GO:0001525;GO:0006906;GO:0030593;GO:0030890;GO:0043087;GO:0007264;GO:0006974;GO:0030032;GO:0043552;GO:0007229;GO:0045785;GO:0038096;GO:0030168,GO:0001772;GO:0005829,GO:0005096;GO:0005515;GO:0046872;GO:0005154;GO:0005085,hsa05205;hsa04810;hsa04664;hsa04662;hsa04650;hsa04062;hsa05135;hsa04015;hsa04660;hsa05417;hsa04024;hsa04670;hsa04510;hsa04666
3265,GO:0098696;GO:0051726;GO:0035900;GO:0050679;GO:0030335;GO:0042832;GO:0043406;GO:0090398;GO:0071480;GO:0001889;GO:0043547;GO:0048169;GO:0097193;GO:0046579;GO:0043524;GO:0050852;GO:0043410;GO:0010863;GO:0007165;GO:2000251;GO:0009887;GO:0045944;GO:0032729;GO:0042088;GO:0006935;GO:1900029;GO:0046330;GO:0008285;GO:0045740;GO:0070374;GO:0090303;GO:0001934;GO:0034260;GO:0007265;GO:0010629;GO:0008284;GO:0090314;GO:2000630;GO:0006897;GO:0000165;GO:0007166,GO:0005737;GO:0005886;GO:0048471;GO:0098978;GO:0005654;GO:0000139;GO:0005794;GO:0005829;GO:0005789,GO:0019003;GO:0044877;GO:0005515;GO:0003925;GO:0005525;GO:0003924;GO:0008022,hsa04926;hsa04916;hsa05211;hsa04213;hsa05215;hsa04660;hsa04151;hsa04072;hsa05205;hsa04550;hsa05170;hsa05213;hsa05034;hsa05226;hsa04730;hsa04935;hsa04210;hsa04725;hsa04144;hsa04919;hsa04650;hsa04371;hsa04370;hsa04010;hsa05231;hsa04014;hsa04726;hsa04015;hsa04915;hsa04929;hsa05224;hsa05225;hsa05010;hsa04722;hsa04630;hsa05216;hsa05160;hsa05218;hsa05206;hsa04664;hsa05132;hsa04140;hsa04068;hsa05165;hsa04625;hsa04540;hsa05022;hsa05219;hsa04921;hsa05166;hsa04071;hsa05221;hsa04062;hsa04662;hsa05235;hsa05203;hsa04137;hsa04810;hsa04360;hsa04933;hsa04912;hsa05214;hsa04012;hsa05200;hsa05167;hsa04150;hsa05223;hsa04510;hsa04714;hsa04218;hsa04910;hsa05230;hsa04211;hsa04720;hsa05210;hsa05163;hsa05220;hsa04917;hsa05417;hsa05161
3937,GO:0035556;GO:0007169;GO:0050852;GO:0045576;GO:0045860;GO:0006955,GO:0036398;GO:0005911;GO:0005829;GO:0044853,GO:0005515,hsa04664;hsa04650;hsa04380;hsa05135;hsa04015;hsa04660;hsa04611
2781,GO:0007186;GO:0007188;GO:0007193,GO:0005886;GO:0005834;GO:0005635;GO:0005783;GO:0005829,GO:0031821;GO:0031683;GO:0005515;GO:0046872;GO:0001664;GO:0005525;GO:0003924,hsa04730
3480,GO:0030335;GO:1904646;GO:0048009;GO:0045056;GO:0006955;GO:0043066;GO:0008286;GO:0043410;GO:0007165;GO:0097062;GO:0051897;GO:0043409;GO:0007275;GO:0046777;GO:0043243;GO:0048015;GO:0014068;GO:0042593;GO:0038083;GO:0008284;GO:0007169;GO:0071333;GO:0033674;GO:0014065;GO:0120162;GO:0046328;GO:0097242,GO:0005886;GO:0043235;GO:0005899;GO:0030424;GO:0043231;GO:1902911;GO:0016020;GO:0035867;GO:0005887,GO:0005010;GO:0042802;GO:0043548;GO:0004714;GO:0140318;GO:0005515;GO:0043559;GO:0043560;GO:0005158;GO:0005524;GO:0005520;GO:0005009;GO:0004713;GO:0031994,hsa04913;hsa04914;hsa04010;hsa04014;hsa05214;hsa05200;hsa04150;hsa04152;hsa04213;hsa05215;hsa04015;hsa04151;hsa05202;hsa04510;hsa05205;hsa05224;hsa04550;hsa04114;hsa05225;hsa04066;hsa04211;hsa05218;hsa04730;hsa04140;hsa04068;hsa04520;hsa04144
2770,GO:0060236;GO:0050805;GO:1904778;GO:0007049;GO:1904322;GO:0007188;GO:0043434;GO:0051301;GO:0007186;GO:0043949;GO:0007193,GO:0005737;GO:0005886;GO:0045121;GO:0005834;GO:0099738;GO:0005813;GO:0005765;GO:0030496;GO:0070062;GO:0005634,GO:0019003;GO:0031821;GO:0031683;GO:0005515;GO:0001664;GO:0032794;GO:0005525;GO:0003924;GO:0000287,hsa04914;hsa04360;hsa04934;hsa04540;hsa04724;hsa04371;hsa05032;hsa04924;hsa05145;hsa04921;hsa04713;hsa04926;hsa04916;hsa04726;hsa04261;hsa05200;hsa04015;hsa04071;hsa04723;hsa04915;hsa04923;hsa04928;hsa04062;hsa05030;hsa04022;hsa05170;hsa04611;hsa04728;hsa04024;hsa04670;hsa05034;hsa05012;hsa04730;hsa04971;hsa04935;hsa05163;hsa05142;hsa04727;hsa05133;hsa04725
961,GO:0032675;GO:1904669;GO:0034113;GO:0032680;GO:0032649;GO:0071347;GO:0051496;GO:0050766;GO:1905450;GO:0016477;GO:0045428;GO:0050729;GO:0007229;GO:2000439;GO:0008284;GO:0022409;GO:0032655;GO:0071349;GO:0050870;GO:0032653;GO:0071346,GO:0035579;GO:0005886;GO:0009986;GO:0005887;GO:0070062;GO:0070821,GO:0005515;GO:0098632;GO:0070053;GO:0086080,hsa04512
2771,GO:0007584;GO:0050805;GO:0046628;GO:0030335;GO:0008283;GO:0007194;GO:1903614;GO:0033864;GO:0035815;GO:0007049;GO:0007188;GO:1904707;GO:0035810;GO:0007165;GO:0001973;GO:2000179;GO:0007189;GO:0045955;GO:0070374;GO:0007213;GO:0007193;GO:0032930;GO:0051924;GO:0008284;GO:2001234;GO:0007214;GO:0007186;GO:0140199;GO:0051301,GO:0005737;GO:0045202;GO:0005886;GO:0045121;GO:0044297;GO:0030425;GO:0005834;GO:0005813;GO:0016020;GO:0005654;GO:0030496;GO:1903561;GO:0070062;GO:0005829,GO:0031683;GO:0005515;GO:0046872;GO:0001664;GO:0005525;GO:0003924,hsa04914;hsa04360;hsa04934;hsa04540;hsa04724;hsa04371;hsa05032;hsa04924;hsa05145;hsa04921;hsa04713;hsa04926;hsa04916;hsa04726;hsa04261;hsa05200;hsa04015;hsa04071;hsa04723;hsa04915;hsa04923;hsa04928;hsa04062;hsa05030;hsa04022;hsa05170;hsa04611;hsa04728;hsa04024;hsa04670;hsa05034;hsa05012;hsa04730;hsa04971;hsa04935;hsa05163;hsa05142;hsa04727;hsa05133;hsa04725
5580,GO:0035556;GO:0032079;GO:0070301;GO:0023021;GO:0032956;GO:0016572;GO:0071447;GO:0051490;GO:0042307;GO:0090398;GO:0046627;GO:2000753;GO:0006468;GO:0018107;GO:0060326;GO:0034644;GO:0007049;GO:2001022;GO:0007165;GO:2001235;GO:1904385;GO:0050732;GO:0038096;GO:0043407;GO:0042119;GO:2000304;GO:0018105;GO:0042742;GO:0034351;GO:0008631;GO:0006915;GO:0032091;GO:0035307;GO:0043488;GO:0010469;GO:0016064;GO:0090331;GO:0032930;GO:0032147;GO:1900163;GO:0042100;GO:0050821;GO:0050728;GO:0030837;GO:0018108;GO:2000755;GO:2000303,GO:0005737;GO:0036019;GO:0005886;GO:0005911;GO:0016363;GO:0005576;GO:0048471;GO:0005654;GO:0035578;GO:0005739;GO:0005783;GO:0070062;GO:0005829;GO:0005634,GO:0019900;GO:0004714;GO:0019899;GO:0005515;GO:0019901;GO:0043560;GO:0046872;GO:0004674;GO:0005524;GO:0106310;GO:0004699;GO:0004698;GO:0004697;GO:0008047;GO:0004715;GO:0004672,hsa04270;hsa04912;hsa04933;hsa04625;hsa05415;hsa04931;hsa05020;hsa04621;hsa04750;hsa05131;hsa04062;hsa04140;hsa04722;hsa04930;hsa04915;hsa04666
94235,GO:0035176;GO:0007186;GO:0071444;GO:0043584;GO:0007399,GO:0005834;GO:0005886,GO:0005515;GO:0003924;GO:0031681,hsa05170;hsa04926;hsa04724;hsa05200;hsa04371;hsa05167;hsa05032;hsa04062;hsa05163;hsa04723;hsa04725;hsa04727;hsa04151;hsa04713;hsa04728;hsa04014;hsa04726;hsa05034
343035,GO:0007601;GO:0060041;GO:0050896;GO:0015031;GO:0031283,GO:0005737;GO:0001750;GO:0001917;GO:0005768;GO:0048471;GO:0005634,GO:0005515,
