#rank	node
1	Q86Y38
2	P21554
3	P63096
4	O14842
5	P50148
6	Q99500
7	Q9NS28
8	O15539
9	P08754
10	P04899
11	O15492
12	P50150
13	P63215
14	P09471
15	Q9HAV0
16	P16520
17	O60262
18	P50151
19	P62873
20	P63218
21	P62879
22	O95467
23	P29992
24	P32302
25	Q9UK08
26	P59768
27	Q96LB2
28	P21731
29	Q14344
30	P16473
31	Q9NRW4
32	Q03113
33	P08913
34	O14610
35	Q13371
36	P61952
37	P63211
38	O14775
39	Q9P2W3
40	P49758
41	O43566
42	P49802
43	Q9NPQ8
44	P34998
45	P21453
46	Q96QD9
47	Q08722
48	P07550
49	Q9UBI6
50	O43665
51	P49798
52	P25098
53	P51681
54	P41143
55	Q9NPG2
56	P63092
57	Q02818
58	P49286
59	P19086
60	P30542
61	P49795
62	O76081
63	P48039
64	Q8N5S1
65	P09067
66	Q8TAD7
67	Q00975
68	O14924
69	P30518
70	P21918
71	P81274
72	O75781
73	Q8NFB2
74	Q6P6B1
75	Q6PEY0
76	P01112
77	Q9Y2G0
78	Q86Z23
79	Q9NWQ8
80	Q53EQ6
81	Q9NVN3
82	O95136
83	P17677
84	Q9UN70
85	Q7L9B9
86	Q8WUN7
87	Q96SQ9
88	P32246
89	Q14156
90	Q96AZ6
91	Q9Y6M4
92	Q13503
93	P23470
94	P12931
95	Q96S94
96	Q92485
97	Q9UNN8
98	P07947
99	Q8N6N7
100	P37235
101	Q7Z2K8
102	Q8ND76
103	P18827
104	Q92845
105	Q8N7R7
106	P06241
107	Q12860
108	P10301
109	Q05655
110	P19878
111	Q7Z3Z2
112	P29317
113	P52803
114	Q16288
115	Q9NYW3
116	Q6P9B6
117	P17252
118	Q13255
119	Q9NQ66
120	Q96MG2
121	P63244
122	Q02156
123	P16284
124	P41240
125	P07948
126	P05771
127	Q06187
128	Q14699
129	P28329
130	Q13009
131	P13591
132	Q13224
133	P78352
134	Q05586
135	P29323
136	P19174
137	Q05397
138	P20936
139	Q14289
140	Q12879
141	P05107
142	P43405
143	P06239
144	P10721
145	Q99704
146	P05106
147	P29353
148	P22681
149	P29350
150	P19235
151	Q06124
152	P32927
153	P27986
154	O60674
155	P16885
156	P15498
157	P06213
158	Q13480
159	P42680
160	P08581
161	P09619
162	O14492
163	P23458
164	P04626
165	P08575
166	P40763
167	P78314
168	P43403
169	Q13094
170	P08631
171	Q92835
172	P61073
173	O15524
174	P08069
175	O00459
176	Q07889
177	P07333
178	P46109
179	Q9UQC2
180	P11274
181	P62993
182	Q13191
183	Q8WV28
184	Q9UKW4
185	P00519
186	P42684
187	P21860
188	P46108
189	Q05209
190	P35968
191	P17948
192	P16333
193	Q92569
194	P35568
195	P00533
196	Q12913
197	P10912
198	P36888
199	O43561
200	Q08881
