#rank	node
1	P62258
2	Q13625
3	O43524
4	Q07866
5	Q99523
6	Q9NW13
7	P46779
8	Q15884
9	P19387
10	A0JLT2
11	Q9UQC2
12	Q9UK80
13	P31040
14	O43678
15	P61421
16	O00459
17	P29317
18	Q9BQA1
19	Q15648
20	Q92542
21	Q53GS9
22	P49790
23	Q9UIA9
24	Q9UKB1
25	Q2NL82
26	Q15397
27	P84103
28	P21912
29	Q9H944
30	Q13243
31	P62857
32	Q9UKX7
33	Q13131
34	Q04637
35	Q9HC77
36	P45984
37	Q16635
38	Q12952
39	Q16629
40	P35221
41	Q15020
42	Q9C009
43	P49720
44	P52907
45	P47755
46	Q13561
47	Q14192
48	O15160
49	P05455
50	Q9Y597
51	Q6Y7W6
52	P19525
53	P23458
54	P14678
55	P17480
56	P82650
57	Q9NQ29
58	Q9BYG3
59	P48729
60	Q09028
61	Q504Q3
62	P60660
63	Q71DI3
64	Q04837
65	P45880
66	Q13330
67	O43809
68	Q6NUS6
69	P50552
70	P12814
71	Q14966
72	P28070
73	Q93008
74	Q13617
75	Q96GM5
76	Q562R1
77	P61019
78	P11171
79	P51571
80	O43823
81	P22234
82	O15264
83	P42166
84	P04083
85	O43542
86	Q9UKM9
87	Q9Y2I6
88	Q9BSJ2
89	P39019
90	P50914
91	P05783
92	O60884
93	Q96CW5
94	Q9Y230
95	O75363
96	Q01094
97	O95835
98	P78352
99	Q01814
100	Q12772
101	Q01130
102	P11177
103	P12755
104	P40939
105	P16070
106	Q9NQ55
107	P16989
108	O96008
109	P19438
110	P61962
111	Q13114
112	O96017
113	P18077
114	O95758
115	P32969
116	Q9Y5V3
117	Q9UJ41
118	Q02539
119	Q15788
120	P20936
121	Q9H307
122	O43290
123	Q01081
124	Q8IY81
125	Q9UBB9
126	O43815
127	P30154
128	P43686
129	Q9UKV3
130	P46459
131	P25398
132	P62333
133	P46783
134	P25789
135	P82933
136	Q13422
137	O14974
138	Q13315
139	O75815
140	P46087
141	P11388
142	Q15262
143	Q9UM54
144	O95782
145	Q2M2I5
146	P60174
147	Q8NC51
148	O75376
149	O75795
150	Q9C002
151	Q13347
152	O00159
153	O14757
154	O43291
155	Q8N3V7
156	Q8N137
157	Q9NYT0
158	Q9Y6Y0
159	Q99729
160	Q92614
161	O94906
162	O00422
163	Q9Y2J2
164	P51531
165	P49715
166	P10415
167	P14136
168	Q9H694
169	P23284
170	Q16891
171	P11387
172	Q96BQ5
173	Q9P0L0
174	Q9UHD2
175	O75558
176	Q13492
177	Q96HA8
178	Q15436
179	P61158
180	P61160
181	Q9ULV4
182	P51397
183	P48047
184	Q07065
185	P16403
186	Q7Z434
187	Q99814
188	O14920
189	Q9NYF8
190	Q05655
191	Q16658
192	P32119
193	Q9BQ95
194	P52701
195	Q07817
196	P21281
197	P30876
198	P18031
199	Q14697
200	P22695
